Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CM-6172	0	0	0.250797483478833	0.0265550337796858	0	0.203619481693389	0	0	0.0238417575932293	0	0.0346428395025879	0	0	0.248212759727021	0.000616509563018395	0.10357219385389	0.000965789510300741	0.00757671095138092	0.0540231569575865	0.0455762833890772	0	0	0.01	0.377976545969303	0.928811355935427
TCGA-DM-A1HA	0	0	0.0754796414567548	0.37937510784371	0	0	0.0833280188716543	0.192778034078122	0	0	0.00873258894157892	0.0708601658279092	0.0175071408464435	0	0.086662492335721	0.0762276026711479	0	0	0.00904920712695879	0	0	0	0.254	0.0538044955622294	1.11201792252793
TCGA-CA-5796	0	0	0.285732359895932	0.0947457394188015	0	0.296839747020521	0	0.0171526083088762	0.0951690391939457	0	0	0	0	0.0616993849349382	0	0.0649928836752545	0.0273450706994414	0.00441494073118737	0	0.0519082261211014	0	0	0.00800000000000001	0.397751592403507	0.922334724102868
TCGA-AA-A02H	0	0.0222989903198171	0.28600611571311	0.142646005471363	0	0.157905126026506	0	0.086367169188706	0.026261146720736	0	0.00163403611512119	0.00963403796468167	0	0.0755270185439867	0.0330277994793885	0.066388517034095	0.0813280336733402	0	0	0.0109760037491487	0	0	0.004	0.43975454711493	0.898013818510828
TCGA-AA-A00F	0	0.0293383047851846	0.248975335336313	0.0668754235620176	0	0.078139185783925	0	0.121156861541908	0.113782109841099	0	0.00179224638442563	0.017945252631331	0	0.116455168223173	0.017322732529724	0.0763876151645932	0	0.00532541637492569	0.0918839534319797	0.0146203944094006	0	0	0.006	0.418357612884386	0.908187086015665
TCGA-AY-A69D	0.0679616550433909	0	0.219936825189919	0.0184199740118656	0	0.231392166620097	0.0913636235887289	0.0861513191285102	0.0104896477360105	0	0.0337704532110702	0	0	0.106649615014787	0.021367472610582	0.0423960320063695	0	0.0189018008657691	0	0.0511994149729005	0	0	0.00700000000000001	0.40789927937934	0.913256723149709
TCGA-CM-6678	0	0.017938216248837	0.107512971914694	0	0	0.138885097782821	0	0	0.097433785624766	0	0.027582001072052	0	0	0.392207536684022	0.00472287041753652	0	0	0	0	0.213717520255271	0	0	0.066	0.163272791859483	1.05141051319684
TCGA-AA-3553	0.0114565415593743	0	0.246673414550513	0.173586342615551	0	0	0.106442792350741	0.0356888114362096	0.0278477306598263	0	0.0174989749995767	0	0	0.073018547314812	0.0804629571524079	0.0922196438572917	0.0981541818497585	0	0.00886563639564084	0.00379641025468725	0	0.0242880150036105	0.00800000000000001	0.400702339696935	0.915418236946668
TCGA-DM-A1D6	0	0.0588819320371912	0.0202754068129771	0.0696380257948193	0	0.421015424426372	0	0	0	0	0	0	0.00935260810652055	0.262011133856248	0.0028529619059134	0	0.0293970814349228	0	0	0.126575425625036	0	0	0.513	0.00239876637091497	1.11240360966727
TCGA-AY-A54L	0	0.0366898600081256	0.508251339827104	0.034173042830566	0	0.0394637372390114	0.190045308309529	0.0423260027852281	0	0	0.00659106983235817	0	0	0.0902453650240424	0	0	0	0	0	0.0522142741440346	0	0	0	0.589484475901162	0.810015354226079
TCGA-DM-A1D9	0	0.0254214459827891	0.0682374727892966	0.051417697236544	0	0.306543651884773	0.110820185021593	0.00543795925686125	0	0	0	0.0271273807183558	0	0.0843142292975479	0.0410084079861158	0.118126791874258	0.115815788362478	0	0	0.045728989589388	0	0	0.099	0.125692148998063	1.0285966194304
